Execution,ID,Interval,Transfer,Bandwidth
1,3,9.0000,2.24 MBytes,18.8 Mbits/sec
1,1,9.0000,2.36 MBytes,19.8 Mbits/sec
1,2,10.0000,2.36 MBytes,19.8 Mbits/sec
1,4,10.0000,4.12 MBytes,34.6 Mbits/sec
1,3,10.0000,2.30 MBytes,19.3 Mbits/sec
1,1,10.0000,2.36 MBytes,19.8 Mbits/sec
1,2,11.0000,2.17 MBytes,18.2 Mbits/sec
1,4,11.0000,4.00 MBytes,33.6 Mbits/sec
1,3,11.0000,2.42 MBytes,20.3 Mbits/sec
1,1,11.0000,2.36 MBytes,19.8 Mbits/sec
1,2,12.0000,2.24 MBytes,18.8 Mbits/sec
1,4,12.0000,4.12 MBytes,34.6 Mbits/sec
1,3,12.0000,2.11 MBytes,17.7 Mbits/sec
1,1,12.0000,2.36 MBytes,19.8 Mbits/sec
1,1,13.0000,0.931 MBytes,7.81 Mbits/sec
1,2,13.0000,2.11 MBytes,17.7 Mbits/sec
1,4,13.0000,4.12 MBytes,34.6 Mbits/sec
1,3,13.0000,2.36 MBytes,19.8 Mbits/sec
1,1,14.0000,2.11 MBytes,17.7 Mbits/sec
1,2,14.0000,2.30 MBytes,19.3 Mbits/sec
1,3,14.0000,2.36 MBytes,19.8 Mbits/sec
1,4,14.0000,4.12 MBytes,34.6 Mbits/sec
1,1,15.0000,2.36 MBytes,19.8 Mbits/sec
1,2,15.0000,2.36 MBytes,19.8 Mbits/sec
1,4,15.0000,4.12 MBytes,34.6 Mbits/sec
1,3,15.0000,2.24 MBytes,18.8 Mbits/sec
1,1,16.0000,2.42 MBytes,20.3 Mbits/sec
1,2,16.0000,2.36 MBytes,19.8 Mbits/sec
1,4,16.0000,4.00 MBytes,33.6 Mbits/sec
1,3,16.0000,2.17 MBytes,18.2 Mbits/sec
1,1,17.0000,2.55 MBytes,21.4 Mbits/sec
1,2,17.0000,2.30 MBytes,19.3 Mbits/sec
1,3,17.0000,2.30 MBytes,19.3 Mbits/sec
1,4,17.0000,4.12 MBytes,34.6 Mbits/sec
1,4,18.0000,2.75 MBytes,23.1 Mbits/sec
1,3,18.0000,2.42 MBytes,20.3 Mbits/sec
1,1,18.0000,3.42 MBytes,28.7 Mbits/sec
1,2,18.0000,2.98 MBytes,25.0 Mbits/sec
1,4,19.0000,3.96 MBytes,33.2 Mbits/sec
1,1,19.0000,2.55 MBytes,21.4 Mbits/sec
1,3,19.0000,2.24 MBytes,18.8 Mbits/sec
1,2,19.0000,2.36 MBytes,19.8 Mbits/sec
1,1,20.0000,2.75 MBytes,23.1 Mbits/sec
1,3,20.0000,2.42 MBytes,20.3 Mbits/sec
1,4,20.0000,4.12 MBytes,34.6 Mbits/sec
1,2,20.0000,1.55 MBytes,13.0 Mbits/sec
1,2,21.0000,0.746 MBytes,6.26 Mbits/sec
1,4,21.0000,2.75 MBytes,23.1 Mbits/sec
1,1,21.0000,4.12 MBytes,34.6 Mbits/sec
1,3,21.0000,2.17 MBytes,18.2 Mbits/sec
1,2,22.0000,1.43 MBytes,12.0 Mbits/sec
1,1,22.0000,2.62 MBytes,22.0 Mbits/sec
1,3,22.0000,2.36 MBytes,19.8 Mbits/sec
1,4,22.0000,3.86 MBytes,32.4 Mbits/sec
1,2,23.0000,1.68 MBytes,14.1 Mbits/sec
1,1,23.0000,4.37 MBytes,36.6 Mbits/sec
1,3,23.0000,2.12 MBytes,17.8 Mbits/sec
1,4,23.0000,3.62 MBytes,30.4 Mbits/sec
1,2,24.0000,1.68 MBytes,14.1 Mbits/sec
1,1,24.0000,4.12 MBytes,34.6 Mbits/sec
1,3,24.0000,2.29 MBytes,19.2 Mbits/sec
1,4,24.0000,2.75 MBytes,23.1 Mbits/sec
1,4,25.0000,2.75 MBytes,23.1 Mbits/sec
1,2,25.0000,1.74 MBytes,14.6 Mbits/sec
1,3,25.0000,2.11 MBytes,17.7 Mbits/sec
1,1,25.0000,4.00 MBytes,33.6 Mbits/sec
1,2,26.0000,1.74 MBytes,14.6 Mbits/sec
1,3,26.0000,1.93 MBytes,16.2 Mbits/sec
1,1,26.0000,4.12 MBytes,34.6 Mbits/sec
1,4,26.0000,3.99 MBytes,33.5 Mbits/sec
1,1,27.0000,2.75 MBytes,23.1 Mbits/sec
1,2,27.0000,1.43 MBytes,12.0 Mbits/sec
1,4,27.0000,2.73 MBytes,22.9 Mbits/sec
1,3,27.0000,2.18 MBytes,18.3 Mbits/sec
1,4,28.0000,2.55 MBytes,21.4 Mbits/sec
1,2,28.0000,1.62 MBytes,13.6 Mbits/sec
1,3,28.0000,2.17 MBytes,18.2 Mbits/sec
1,1,28.0000,5.50 MBytes,46.1 Mbits/sec
1,4,28.9434,0.391 MBytes,3.48 Mbits/sec
1,4,28.9434,100 MBytes,29.0 Mbits/sec
1,2,29.0000,1.68 MBytes,14.1 Mbits/sec
1,1,29.0000,4.12 MBytes,34.6 Mbits/sec
1,3,29.0000,2.05 MBytes,17.2 Mbits/sec
1,2,30.0000,2.12 MBytes,17.8 Mbits/sec
1,3,30.0000,2.56 MBytes,21.4 Mbits/sec
1,1,30.0000,5.38 MBytes,45.1 Mbits/sec
1,2,31.0000,2.29 MBytes,19.2 Mbits/sec
1,1,31.0000,5.50 MBytes,46.1 Mbits/sec
1,3,31.0000,2.75 MBytes,23.1 Mbits/sec
1,1,31.8543,1.11 MBytes,10.9 Mbits/sec
1,1,31.8543,100 MBytes,26.3 Mbits/sec
1,3,32.0000,2.46 MBytes,20.7 Mbits/sec
1,2,32.0000,4.12 MBytes,34.6 Mbits/sec
1,2,33.0000,5.50 MBytes,46.1 Mbits/sec
1,3,33.0000,5.50 MBytes,46.1 Mbits/sec
1,3,34.0000,4.12 MBytes,34.6 Mbits/sec
1,2,34.0000,6.88 MBytes,57.7 Mbits/sec
1,3,35.0000,4.12 MBytes,34.6 Mbits/sec
1,2,35.0000,6.75 MBytes,56.6 Mbits/sec
1,3,36.0000,4.12 MBytes,34.6 Mbits/sec
1,2,36.0000,6.88 MBytes,57.7 Mbits/sec
1,2,36.7902,1.84 MBytes,19.6 Mbits/sec
1,2,36.7902,100 MBytes,22.8 Mbits/sec
1,3,37.1919,4.65 MBytes,32.7 Mbits/sec
1,3,37.1919,100 MBytes,22.6 Mbits/sec
2,4,1.0000,3.88 MBytes,32.5 Mbits/sec
2,2,1.0000,4.50 MBytes,37.7 Mbits/sec
2,1,1.0000,4.50 MBytes,37.7 Mbits/sec
2,3,1.0000,4.75 MBytes,39.8 Mbits/sec
2,2,2.0000,3.38 MBytes,28.3 Mbits/sec
2,1,2.0000,3.38 MBytes,28.3 Mbits/sec
2,4,2.0000,3.38 MBytes,28.3 Mbits/sec
2,3,2.0000,3.38 MBytes,28.3 Mbits/sec
2,4,3.0000,2.62 MBytes,22.0 Mbits/sec
2,2,3.0000,2.75 MBytes,23.1 Mbits/sec
2,1,3.0000,2.75 MBytes,23.1 Mbits/sec
2,3,3.0000,2.61 MBytes,21.9 Mbits/sec
2,2,4.0000,2.41 MBytes,20.2 Mbits/sec
2,1,4.0000,2.48 MBytes,20.8 Mbits/sec
2,3,4.0000,2.55 MBytes,21.4 Mbits/sec
2,4,4.0000,3.54 MBytes,29.7 Mbits/sec
2,2,5.0000,2.74 MBytes,22.9 Mbits/sec
2,1,5.0000,2.61 MBytes,21.9 Mbits/sec
2,3,5.0000,2.36 MBytes,19.8 Mbits/sec
2,4,5.0000,2.23 MBytes,18.7 Mbits/sec
2,2,6.0000,2.87 MBytes,24.1 Mbits/sec
2,4,6.0000,2.06 MBytes,17.3 Mbits/sec
2,1,6.0000,4.10 MBytes,34.4 Mbits/sec
2,3,6.0000,3.23 MBytes,27.1 Mbits/sec
2,4,7.0000,2.55 MBytes,21.4 Mbits/sec
2,2,7.0000,3.91 MBytes,32.8 Mbits/sec
2,1,7.0000,2.67 MBytes,22.4 Mbits/sec
2,3,7.0000,2.55 MBytes,21.4 Mbits/sec
2,2,8.0000,2.75 MBytes,23.1 Mbits/sec
2,1,8.0000,2.75 MBytes,23.1 Mbits/sec
2,3,8.0000,2.75 MBytes,23.1 Mbits/sec
2,4,8.0000,3.98 MBytes,33.4 Mbits/sec
2,4,9.0000,1.04 MBytes,8.72 Mbits/sec
2,2,9.0000,2.47 MBytes,20.7 Mbits/sec
2,1,9.0000,2.66 MBytes,22.3 Mbits/sec
2,3,9.0000,2.41 MBytes,20.3 Mbits/sec
2,2,10.0000,2.75 MBytes,23.1 Mbits/sec
2,1,10.0000,2.75 MBytes,23.1 Mbits/sec
2,4,10.0000,3.99 MBytes,33.5 Mbits/sec
2,3,10.0000,2.60 MBytes,21.8 Mbits/sec
2,2,11.0000,2.75 MBytes,23.1 Mbits/sec
2,1,11.0000,2.75 MBytes,23.1 Mbits/sec
2,3,11.0000,2.36 MBytes,19.8 Mbits/sec
2,4,11.0000,2.47 MBytes,20.7 Mbits/sec
2,2,12.0000,2.64 MBytes,22.2 Mbits/sec
2,1,12.0000,2.52 MBytes,21.1 Mbits/sec
2,4,12.0000,2.56 MBytes,21.4 Mbits/sec
2,3,12.0000,2.75 MBytes,23.1 Mbits/sec
2,2,13.0000,2.75 MBytes,23.1 Mbits/sec
2,1,13.0000,2.75 MBytes,23.1 Mbits/sec
2,4,13.0000,2.75 MBytes,23.1 Mbits/sec
