Execution,ID,Interval,Transfer,Bandwidth
1,4,28.0000,2.55,21.4
1,2,28.0000,1.62,13.6
1,3,28.0000,2.17,18.2
1,1,28.0000,5.50,46.1
1,4,28.9434,0.391,3.48
1,2,29.0000,1.68,14.1
1,1,29.0000,4.12,34.6
1,3,29.0000,2.05,17.2
1,2,30.0000,2.12,17.8
1,3,30.0000,2.56,21.4
1,1,30.0000,5.38,45.1
1,2,31.0000,2.29,19.2
1,1,31.0000,5.50,46.1
1,3,31.0000,2.75,23.1
1,1,31.8543,1.11,10.9
1,3,32.0000,2.46,20.7
1,2,32.0000,4.12,34.6
1,2,33.0000,5.50,46.1
1,3,33.0000,5.50,46.1
1,3,34.0000,4.12,34.6
1,2,34.0000,6.88,57.7
1,3,35.0000,4.12,34.6
1,2,35.0000,6.75,56.6
1,3,36.0000,4.12,34.6
1,2,36.0000,6.88,57.7
1,2,36.7902,1.84,19.6
1,3,37.1919,4.65,32.7
2,4,1.0000,3.88,32.5
2,2,1.0000,4.50,37.7
2,1,1.0000,4.50,37.7
2,3,1.0000,4.75,39.8
2,2,2.0000,3.38,28.3
2,1,2.0000,3.38,28.3
2,4,2.0000,3.38,28.3
2,3,2.0000,3.38,28.3
2,4,3.0000,2.62,22.0
2,2,3.0000,2.75,23.1
2,1,3.0000,2.75,23.1
2,3,3.0000,2.61,21.9
2,2,4.0000,2.41,20.2
2,1,4.0000,2.48,20.8
2,3,4.0000,2.55,21.4
2,4,4.0000,3.54,29.7
2,2,5.0000,2.74,22.9
2,1,5.0000,2.61,21.9
2,3,5.0000,2.36,19.8
2,4,5.0000,2.23,18.7
2,2,6.0000,2.87,24.1
2,4,6.0000,2.06,17.3
2,1,6.0000,4.10,34.4
2,3,6.0000,3.23,27.1
2,4,7.0000,2.55,21.4
2,2,7.0000,3.91,32.8
2,1,7.0000,2.67,22.4
2,3,7.0000,2.55,21.4
2,2,8.0000,2.75,23.1
2,1,8.0000,2.75,23.1
2,3,8.0000,2.75,23.1
2,4,8.0000,3.98,33.4
2,4,9.0000,1.04,8.72
2,2,9.0000,2.47,20.7
2,1,9.0000,2.66,22.3
2,3,9.0000,2.41,20.3
2,2,10.0000,2.75,23.1
2,1,10.0000,2.75,23.1
2,4,10.0000,3.99,33.5
2,3,10.0000,2.60,21.8
2,2,11.0000,2.75,23.1
2,1,11.0000,2.75,23.1
2,3,11.0000,2.36,19.8
2,4,11.0000,2.47,20.7
2,2,12.0000,2.64,22.2
2,1,12.0000,2.52,21.1
2,4,12.0000,2.56,21.4
2,3,12.0000,2.75,23.1
2,2,13.0000,2.75,23.1
2,1,13.0000,2.75,23.1
2,4,13.0000,2.75,23.1
2,3,13.0000,2.53,21.2
2,2,14.0000,2.75,23.1
2,1,14.0000,2.75,23.1
2,3,14.0000,2.62,22.0
2,4,14.0000,2.34,19.6
2,2,15.0000,2.52,21.1
2,1,15.0000,2.52,21.1
2,4,15.0000,2.56,21.4
2,3,15.0000,2.75,23.1
2,2,16.0000,2.67,22.4
2,1,16.0000,2.75,23.1
2,4,16.0000,2.75,23.1
2,3,16.0000,2.46,20.7
2,2,17.0000,2.75,23.1
