ID,Interval,Num_Fluxos,Bandwidth_Total,Fluxos_Detalhes
1,13.0000-14.0000,4,91.4,Fluxo 1: 17.700 Mbits/s; Fluxo 2: 19.300 Mbits/s; Fluxo 3: 19.800 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,14.0000-15.0000,4,93.0,Fluxo 1: 19.800 Mbits/s; Fluxo 2: 19.800 Mbits/s; Fluxo 3: 18.800 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,15.0000-16.0000,4,91.9,Fluxo 1: 20.300 Mbits/s; Fluxo 2: 19.800 Mbits/s; Fluxo 3: 18.200 Mbits/s; Fluxo 4: 33.600 Mbits/s
1,16.0000-17.0000,4,94.6,Fluxo 1: 21.400 Mbits/s; Fluxo 2: 19.300 Mbits/s; Fluxo 3: 19.300 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,17.0000-18.0000,4,97.1,Fluxo 1: 28.700 Mbits/s; Fluxo 2: 25.000 Mbits/s; Fluxo 3: 20.300 Mbits/s; Fluxo 4: 23.100 Mbits/s
1,18.0000-19.0000,4,93.2,Fluxo 1: 21.400 Mbits/s; Fluxo 2: 19.800 Mbits/s; Fluxo 3: 18.800 Mbits/s; Fluxo 4: 33.200 Mbits/s
1,19.0000-20.0000,4,91.0,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 13.000 Mbits/s; Fluxo 3: 20.300 Mbits/s; Fluxo 4: 34.600 Mbits/s
1,20.0000-21.0000,4,82.16,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 6.260 Mbits/s; Fluxo 3: 18.200 Mbits/s; Fluxo 4: 23.100 Mbits/s
1,21.0000-22.0000,4,86.2,Fluxo 1: 22.000 Mbits/s; Fluxo 2: 12.000 Mbits/s; Fluxo 3: 19.800 Mbits/s; Fluxo 4: 32.400 Mbits/s
1,22.0000-23.0000,4,98.9,Fluxo 1: 36.600 Mbits/s; Fluxo 2: 14.100 Mbits/s; Fluxo 3: 17.800 Mbits/s; Fluxo 4: 30.400 Mbits/s
1,23.0000-24.0000,4,91.0,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 14.100 Mbits/s; Fluxo 3: 19.200 Mbits/s; Fluxo 4: 23.100 Mbits/s
1,24.0000-25.0000,4,89.0,Fluxo 1: 33.600 Mbits/s; Fluxo 2: 14.600 Mbits/s; Fluxo 3: 17.700 Mbits/s; Fluxo 4: 23.100 Mbits/s
1,25.0000-26.0000,4,98.9,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 14.600 Mbits/s; Fluxo 3: 16.200 Mbits/s; Fluxo 4: 33.500 Mbits/s
1,26.0000-27.0000,4,76.3,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 12.000 Mbits/s; Fluxo 3: 18.300 Mbits/s; Fluxo 4: 22.900 Mbits/s
1,27.0000-28.0000,4,99.3,Fluxo 1: 46.100 Mbits/s; Fluxo 2: 13.600 Mbits/s; Fluxo 3: 18.200 Mbits/s; Fluxo 4: 21.400 Mbits/s
1,28.0000-29.0000,3,65.9,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 14.100 Mbits/s; Fluxo 3: 17.200 Mbits/s
1,28.0000-28.9434,1,3.48,Fluxo 4: 3.480 Mbits/s
1,29.0000-30.0000,3,84.3,Fluxo 1: 45.100 Mbits/s; Fluxo 2: 17.800 Mbits/s; Fluxo 3: 21.400 Mbits/s
1,30.0000-31.0000,3,88.4,Fluxo 1: 46.100 Mbits/s; Fluxo 2: 19.200 Mbits/s; Fluxo 3: 23.100 Mbits/s
1,31.0000-31.8543,1,10.9,Fluxo 1: 10.900 Mbits/s
1,31.0000-32.0000,2,55.3,Fluxo 2: 34.600 Mbits/s; Fluxo 3: 20.700 Mbits/s
1,32.0000-33.0000,2,92.2,Fluxo 2: 46.100 Mbits/s; Fluxo 3: 46.100 Mbits/s
1,33.0000-34.0000,2,92.30000000000001,Fluxo 2: 57.700 Mbits/s; Fluxo 3: 34.600 Mbits/s
1,34.0000-35.0000,2,91.2,Fluxo 2: 56.600 Mbits/s; Fluxo 3: 34.600 Mbits/s
1,35.0000-36.0000,2,92.30000000000001,Fluxo 2: 57.700 Mbits/s; Fluxo 3: 34.600 Mbits/s
1,36.0000-36.7902,1,19.6,Fluxo 2: 19.600 Mbits/s
1,36.0000-37.1919,1,32.7,Fluxo 3: 32.700 Mbits/s
2,0.0000-1.0000,4,147.7,Fluxo 1: 37.700 Mbits/s; Fluxo 2: 37.700 Mbits/s; Fluxo 3: 39.800 Mbits/s; Fluxo 4: 32.500 Mbits/s
2,1.0000-2.0000,4,113.2,Fluxo 1: 28.300 Mbits/s; Fluxo 2: 28.300 Mbits/s; Fluxo 3: 28.300 Mbits/s; Fluxo 4: 28.300 Mbits/s
2,2.0000-3.0000,4,90.1,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 22.000 Mbits/s
2,3.0000-4.0000,4,92.1,Fluxo 1: 20.800 Mbits/s; Fluxo 2: 20.200 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 29.700 Mbits/s
2,4.0000-5.0000,4,83.3,Fluxo 1: 21.900 Mbits/s; Fluxo 2: 22.900 Mbits/s; Fluxo 3: 19.800 Mbits/s; Fluxo 4: 18.700 Mbits/s
2,5.0000-6.0000,4,102.9,Fluxo 1: 34.400 Mbits/s; Fluxo 2: 24.100 Mbits/s; Fluxo 3: 27.100 Mbits/s; Fluxo 4: 17.300 Mbits/s
2,6.0000-7.0000,4,98.0,Fluxo 1: 22.400 Mbits/s; Fluxo 2: 32.800 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 21.400 Mbits/s
2,7.0000-8.0000,4,102.7,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 33.400 Mbits/s
2,8.0000-9.0000,4,72.02,Fluxo 1: 22.300 Mbits/s; Fluxo 2: 20.700 Mbits/s; Fluxo 3: 20.300 Mbits/s; Fluxo 4: 8.720 Mbits/s
2,9.0000-10.0000,4,101.5,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 21.800 Mbits/s; Fluxo 4: 33.500 Mbits/s
2,10.0000-11.0000,4,86.7,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 19.800 Mbits/s; Fluxo 4: 20.700 Mbits/s
2,11.0000-12.0000,4,87.8,Fluxo 1: 21.100 Mbits/s; Fluxo 2: 22.200 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 21.400 Mbits/s
2,12.0000-13.0000,4,90.5,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 21.200 Mbits/s; Fluxo 4: 23.100 Mbits/s
2,13.0000-14.0000,4,87.80000000000001,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 22.000 Mbits/s; Fluxo 4: 19.600 Mbits/s
2,14.0000-15.0000,4,86.7,Fluxo 1: 21.100 Mbits/s; Fluxo 2: 21.100 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 21.400 Mbits/s
2,15.0000-16.0000,4,89.3,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 22.400 Mbits/s; Fluxo 3: 20.700 Mbits/s; Fluxo 4: 23.100 Mbits/s
2,16.0000-17.0000,4,89.5,Fluxo 1: 22.800 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 22.200 Mbits/s
2,17.0000-18.0000,4,102.4,Fluxo 1: 22.900 Mbits/s; Fluxo 2: 34.600 Mbits/s; Fluxo 3: 22.500 Mbits/s; Fluxo 4: 22.400 Mbits/s
2,18.0000-19.0000,4,82.5,Fluxo 1: 32.900 Mbits/s; Fluxo 2: 20.100 Mbits/s; Fluxo 3: 15.500 Mbits/s; Fluxo 4: 14.000 Mbits/s
2,19.0000-20.0000,4,100.7,Fluxo 1: 21.300 Mbits/s; Fluxo 2: 22.900 Mbits/s; Fluxo 3: 21.900 Mbits/s; Fluxo 4: 34.600 Mbits/s
2,20.0000-21.0000,4,85.9,Fluxo 1: 22.500 Mbits/s; Fluxo 2: 21.900 Mbits/s; Fluxo 3: 20.300 Mbits/s; Fluxo 4: 21.200 Mbits/s
2,21.0000-22.0000,4,100.5,Fluxo 1: 22.300 Mbits/s; Fluxo 2: 22.400 Mbits/s; Fluxo 3: 33.400 Mbits/s; Fluxo 4: 22.400 Mbits/s
2,22.0000-23.0000,4,85.5,Fluxo 1: 21.900 Mbits/s; Fluxo 2: 21.900 Mbits/s; Fluxo 3: 22.900 Mbits/s; Fluxo 4: 18.800 Mbits/s
2,23.0000-24.0000,4,80.0,Fluxo 1: 22.000 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 19.900 Mbits/s; Fluxo 4: 16.700 Mbits/s
2,24.0000-25.0000,4,86.8,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 19.200 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 21.400 Mbits/s
2,25.0000-26.0000,4,97.30000000000001,Fluxo 1: 34.600 Mbits/s; Fluxo 2: 20.300 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 19.300 Mbits/s
2,26.0000-27.0000,4,83.30000000000001,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 19.300 Mbits/s; Fluxo 3: 22.100 Mbits/s; Fluxo 4: 18.800 Mbits/s
2,27.0000-28.0000,4,95.5,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 20.300 Mbits/s; Fluxo 3: 33.900 Mbits/s; Fluxo 4: 18.200 Mbits/s
