ID,Interval,Transfer,Bandwidth
4,25.0000,6.88,57.7
4,26.0000,4.5,37.7
4,26.9370,1.84,16.4
4,26.9370,100.0,31.1
5,1.0000,0.103515625,0.8486328125
5,2.0000,0.359375,3.02
5,3.0000,0.9326171875,7.83
5,4.0000,2.74,23.0
5,5.0000,2.42,20.3
5,6.0000,1.74,14.6
5,7.0000,3.3,27.7
5,8.0000,3.3,27.7
5,9.0000,2.23,18.7
5,10.0000,5.0,42.0
5,11.0000,3.78,31.7
5,12.0000,2.38,19.9
5,13.0000,5.0,41.9
5,14.0000,3.75,31.5
5,15.0000,3.5,29.4
5,16.0000,5.0,41.9
5,17.0000,2.85,23.9
5,18.0000,6.3,52.9
5,19.0000,3.6,30.2
5,20.0000,5.76,48.3
5,21.0000,6.74,56.5
5,22.0000,4.55,38.2
5,23.0000,6.84,57.4
5,24.0000,4.57,38.3
5,25.0000,6.8,57.1
5,26.0000,3.95,33.1
5,27.0189,2.51,20.6
5,27.0189,100.0,31.0
6,1.0000,0.103515625,0.8486328125
6,2.0000,0.359375,3.02
6,3.0000,0.9326171875,7.83
6,4.0000,2.74,23.0
6,5.0000,2.42,20.3
6,6.0000,1.67,14.0
6,7.0000,3.36,28.2
6,8.0000,3.3,27.7
6,9.0000,2.35,19.8
6,10.0000,4.88,41.0
6,11.0000,3.72,31.2
6,12.0000,2.47,20.7
6,13.0000,4.92,41.3
6,14.0000,3.75,31.5
6,15.0000,3.62,30.4
6,16.0000,5.0,41.9
6,17.0000,2.83,23.8
6,18.0000,6.26,52.5
6,19.0000,3.56,29.9
6,20.0000,5.86,49.2
6,21.0000,6.67,55.9
6,22.0000,3.8,31.9
6,23.0000,6.85,57.5
6,24.0000,6.83,57.3
6,25.0000,4.62,38.8
6,26.0000,4.51,37.8
6,27.0151,2.59,21.4
6,27.0151,100.0,31.1
7,1.0000,0.103515625,0.8486328125
7,2.0000,0.359375,3.02
7,3.0000,0.9326171875,7.83
7,4.0000,2.74,23.0
7,5.0000,2.42,20.3
7,6.0000,1.67,14.0
7,7.0000,3.36,28.2
7,8.0000,3.36,28.2
7,9.0000,2.29,19.2
7,10.0000,4.75,39.8
7,11.0000,3.81,32.0
7,12.0000,2.5,21.0
7,13.0000,5.0,41.9
7,14.0000,3.75,31.5
7,15.0000,3.62,30.4
7,16.0000,5.0,41.9
7,17.0000,2.88,24.1
7,18.0000,6.55,54.9
7,19.0000,3.61,30.3
7,20.0000,5.93,49.7
7,21.0000,6.78,56.9
7,22.0000,3.77,31.6
7,23.0000,6.03,50.6
7,24.0000,6.83,57.3
7,25.0000,4.58,38.4
7,26.0000,4.58,38.4
7,27.0386,2.79,22.5
7,27.0386,100.0,31.0
8,1.0000,0.103515625,0.8486328125
8,2.0000,0.359375,3.02
8,3.0000,0.9326171875,7.83
8,4.0000,2.74,23.0
8,5.0000,2.42,20.3
8,6.0000,1.67,14.0
8,7.0000,3.36,28.2
8,8.0000,3.36,28.2
8,9.0000,2.29,19.2
8,10.0000,4.88,40.9
8,11.0000,3.73,31.3
8,12.0000,2.47,20.7
8,13.0000,5.0,41.9
8,14.0000,3.75,31.5
8,15.0000,3.62,30.4
8,16.0000,5.0,41.9
8,17.0000,2.79,23.4
8,18.0000,6.31,52.9
8,19.0000,3.6,30.2
8,20.0000,5.84,49.0
8,21.0000,6.66,55.8
8,22.0000,4.57,38.3
8,23.0000,6.84,57.4
8,24.0000,4.58,38.4
8,25.0000,6.83,57.3
8,26.0000,4.58,38.4
8,26.9369,1.7,15.3
8,26.9369,100.0,31.1
