ID,Interval,Transfer,Bandwidth
3,21.0,6.750,56.600
3,22.0,4.510,37.800
3,23.0,4.550,38.200
3,24.0,6.880,57.700
3,25.0,6.830,57.300
3,26.0,4.590,38.500
3,26.9,1.130,10.100
4,1.0,0.104,0.849
4,2.0,0.359,2.949
4,3.0,0.933,7.648
4,4.0,2.740,23.000
4,5.0,2.420,20.300
4,6.0,1.730,14.600
4,7.0,3.300,27.700
4,8.0,3.300,27.700
4,9.0,2.230,18.700
4,10.0,4.820,40.400
4,11.0,3.850,32.300
4,12.0,2.450,20.600
4,13.0,5.000,41.900
4,14.0,3.750,31.500
4,15.0,3.620,30.400
4,16.0,5.000,41.900
4,17.0,2.760,23.100
4,18.0,6.270,52.600
4,19.0,3.620,30.400
4,20.0,5.770,48.400
4,21.0,6.700,56.200
4,22.0,4.500,37.800
4,23.0,6.930,58.200
4,24.0,4.620,38.800
4,25.0,6.880,57.700
4,26.0,4.500,37.700
4,26.9,1.840,16.400
5,1.0,0.104,0.849
5,2.0,0.359,2.949
5,3.0,0.933,7.648
5,4.0,2.740,23.000
5,5.0,2.420,20.300
5,6.0,1.740,14.600
5,7.0,3.300,27.700
5,8.0,3.300,27.700
5,9.0,2.230,18.700
5,10.0,5.000,42.000
5,11.0,3.780,31.700
5,12.0,2.380,19.900
5,13.0,5.000,41.900
5,14.0,3.750,31.500
5,15.0,3.500,29.400
5,16.0,5.000,41.900
5,17.0,2.850,23.900
5,18.0,6.300,52.900
5,19.0,3.600,30.200
5,20.0,5.760,48.300
5,21.0,6.740,56.500
5,22.0,4.550,38.200
5,23.0,6.840,57.400
5,24.0,4.570,38.300
5,25.0,6.800,57.100
5,26.0,3.950,33.100
5,27.0,2.510,20.600
6,1.0,0.104,0.849
6,2.0,0.359,2.949
6,3.0,0.933,7.648
6,4.0,2.740,23.000
6,5.0,2.420,20.300
6,6.0,1.670,14.000
6,7.0,3.360,28.200
6,8.0,3.300,27.700
6,9.0,2.350,19.800
6,10.0,4.880,41.000
6,11.0,3.720,31.200
6,12.0,2.470,20.700
6,13.0,4.920,41.300
6,14.0,3.750,31.500
6,15.0,3.620,30.400
6,16.0,5.000,41.900
6,17.0,2.830,23.800
6,18.0,6.260,52.500
6,19.0,3.560,29.900
6,20.0,5.860,49.200
6,21.0,6.670,55.900
6,22.0,3.800,31.900
6,23.0,6.850,57.500
6,24.0,6.830,57.300
6,25.0,4.620,38.800
6,26.0,4.510,37.800
6,27.0,2.590,21.400
7,1.0,0.104,0.849
7,2.0,0.359,2.949
7,3.0,0.933,7.648
7,4.0,2.740,23.000
7,5.0,2.420,20.300
7,6.0,1.670,14.000
7,7.0,3.360,28.200
7,8.0,3.360,28.200
7,9.0,2.290,19.200
7,10.0,4.750,39.800
7,11.0,3.810,32.000
7,12.0,2.500,21.000
7,13.0,5.000,41.900
7,14.0,3.750,31.500
7,15.0,3.620,30.400
7,16.0,5.000,41.900
7,17.0,2.880,24.100
7,18.0,6.550,54.900
7,19.0,3.610,30.300
7,20.0,5.930,49.700
7,21.0,6.780,56.900
7,22.0,3.770,31.600
7,23.0,6.030,50.600
7,24.0,6.830,57.300
7,25.0,4.580,38.400
7,26.0,4.580,38.400
7,27.0,2.790,22.500
8,1.0,0.104,0.849
8,2.0,0.359,2.949
8,3.0,0.933,7.648
8,4.0,2.740,23.000
8,5.0,2.420,20.300
8,6.0,1.670,14.000
8,7.0,3.360,28.200
8,8.0,3.360,28.200
8,9.0,2.290,19.200
8,10.0,4.880,40.900
8,11.0,3.730,31.300
8,12.0,2.470,20.700
8,13.0,5.000,41.900
8,14.0,3.750,31.500
8,15.0,3.620,30.400
8,16.0,5.000,41.900
8,17.0,2.790,23.400
8,18.0,6.310,52.900
8,19.0,3.600,30.200
8,20.0,5.840,49.000
8,21.0,6.660,55.800
8,22.0,4.570,38.300
8,23.0,6.840,57.400
8,24.0,4.580,38.400
8,25.0,6.830,57.300
8,26.0,4.580,38.400
8,26.9,1.700,15.300
